Result,DF URL,Original URL,Title,Last Valid Web Archive URL,Redirect URL,Redirect Count
Too Many Redirects,http://daringfireball.net/linked/2016/04/20/eu-android,http://www.nytimes.com/2016/04/21/technology/google-europe-antitrust.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=second-column-region&region=top-news&WT.nav=top-news,European Commission Charges Google With Abuse of Android’s ‘Dominant Position’,,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F04%2F21%2Ftechnology%2Fgoogle-europe-antitrust.html%3Fhp%26action%3Dclick%26pgtype%3DHomepage%26clickSource%3Dstory-heading%26module%3Dsecond-column-region%26region%3Dtop-news%26WT.nav%3Dtop-news%26_r%3D2,5
Reachable,http://daringfireball.net/linked/2016/04/20/dyson-hand-dryer,http://arstechnica.com/science/2016/04/dyson-dryers-hurl-60x-more-viruses-most-at-kid-face-height-than-other-dryers/,Researchers: Dyson Hand Dryers Spread Viral Germs,,,
Reachable,http://daringfireball.net/linked/2016/04/20/snell-macbook,https://sixcolors.com/post/2016/04/apple-updates-macbook-rose-gold-no-thunderbolt-3/,Jason Snell on the Speed-Bump Update to the MacBook,,,
Reachable,http://daringfireball.net/linked/2016/04/20/humanae,http://www.angelicadass.com/humanae-work-in-progress/,‘Humanae’ — A Color Palette of Human Skin Tones,,,
Reachable,http://daringfireball.net/linked/2016/04/20/reece-wwdc,http://www.manton.org/2016/04/dont-give-up-on-wwdc.html,Manton Reece: Don’t Give Up on WWDC,,,
Reachable,http://daringfireball.net/linked/2016/04/20/cieplinski-wwdc-price,http://www.joecieplinski.com/blog/2016/04/19/conferences-get-together-for-a-special-offer/,"WWDC as Community Hub, in the Face of San Francisco’s Hotel Prices",,,
Reachable,http://daringfireball.net/linked/2016/04/20/auletta-campbell,http://www.newyorker.com/business/currency/postscript-bill-campbell-1940-2016,Ken Auletta on Bill Campbell,,,
Reachable,http://daringfireball.net/linked/2016/04/20/san-fran-mono,https://developer.apple.com/wwdc/,San Francisco Mono,,,
Too Many Redirects,http://daringfireball.net/linked/2016/04/20/tubman,http://www.nytimes.com/2016/04/21/us/women-currency-treasury-harriet-tubman.html,Harriet Tubman to Replace Andrew Jackson on the $20 Bill,,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F04%2F21%2Fus%2Fwomen-currency-treasury-harriet-tubman.html%3F_r%3D2,5
Reachable,http://daringfireball.net/linked/2016/04/20/1986,http://www.theatlantic.com/photo/2016/04/30-years-ago-a-look-back-at-1986/478947/,1986 in Photos,,,
Reachable,http://daringfireball.net/linked/2016/04/20/intel-12k-jobs,http://www.bloomberg.com/news/articles/2016-04-19/intel-cuts-12-000-jobs-forecast-misses-as-pc-blight-takes-toll,"Intel to Cut 12,000 Jobs, Forecast Misses Amid PC Blight",,,
Too Many Redirects,http://daringfireball.net/linked/2016/04/19/bill-campbell,http://www.nytimes.com/2016/04/19/business/bill-campbell-coach-of-silicon-valley-stars-dies-at-75.html,‘Coach’ Bill Campbell Dies at 75,,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F04%2F19%2Fbusiness%2Fbill-campbell-coach-of-silicon-valley-stars-dies-at-75.html%3F_r%3D2,5
Reachable,http://daringfireball.net/linked/2016/04/18/wwdc-2016,http://www.apple.com/pr/library/2016/04/18Apples-Worldwide-Developers-Conference-Kicks-Off-June-13-in-San-Francisco.html,WWDC 2016: June 13 Through 17,,,
Reachable,http://daringfireball.net/linked/2016/04/18/bajarin-apple-security,https://techpinions.com/apples-penchant-for-consumer-security/45122,Apple’s Penchant for Consumer Security,,,
Reachable,http://daringfireball.net/linked/2016/04/18/never-never-never,http://www.bloomberg.com/news/articles/2016-04-18/apnewsbreak-man-sues-kanye-west-tidal-over-new-album,‘Never Never Never’,,,
Reachable,http://daringfireball.net/linked/2016/04/18/mlb-multitasking,http://techcrunch.com/2016/04/15/live-video-viewing-up-86-over-last-year-in-mlbs-at-bat-app-thanks-to-addition-of-multitasking/,iPad Multitasking’s Effect on MLB At Bat Viewership,,,
Redirected,http://daringfireball.net/linked/2016/04/16/squarespace,http://www.squarespace.com/?channel=mixedmedia&subchannel=daringfireball&source=daringfireball&campaign=2016&subcampaign=april,Squarespace,,https://www.squarespace.com/?channel=mixedmedia&subchannel=daringfireball&source=daringfireball&campaign=2016&subcampaign=april,
Reachable,http://daringfireball.net/linked/2016/04/15/bohn-iphone-ringtones,http://www.theverge.com/2016/4/15/11394950/iphone-ringtones-ios-stuck-past,Custom Ringtones on iOS Are a Huge Pain in the Ass,,,
Reachable,http://daringfireball.net/linked/2016/04/15/macos,http://arstechnica.com/apple/2016/04/signs-point-to-apple-abandoning-os-x-branding-in-favor-of-macos/,Another Instance of ‘MacOS’ Appears,,,
Reachable,http://daringfireball.net/linked/2016/04/15/impossible-bikes,http://www.gianlucagimini.it/prototypes/velocipedia.html,Photo-Realistic Renderings of People’s Sketches of Bicycles,,,
Reachable,http://daringfireball.net/linked/2016/04/14/march-air,http://jackgmarch.com/2016/04/11/the-end-of-apple-macbook-ipad-air-brand/,Apple Has Probably Killed the ‘Air’ Brand,,,
Reachable,http://daringfireball.net/linked/2016/04/14/bloomberg-app-store-search,http://www.bloomberg.com/news/articles/2016-04-14/apple-said-to-pursue-new-search-features-for-crowded-app-store,Bloomberg: Apple Exploring Google-Like ‘Paid Search’ for App Store,,,
Reachable,http://daringfireball.net/linked/2016/04/14/motherboard-blackberry,https://motherboard.vice.com/read/rcmp-blackberry-project-clemenza-global-encryption-key-canada,Motherboard: How Canadian Police Intercept and Read Encrypted BlackBerry Messages,,,
Reachable,http://daringfireball.net/linked/2016/04/14/cynthia-hogan,http://www.politico.com/story/2016/04/apple-hires-cynthia-hogan-221937,Apple Hires NFL Lobbyist Cynthia Hogan to Head Washington Office,,,
Reachable,http://daringfireball.net/linked/2016/04/14/charlie-rose-jessica-svendsen,http://jessicasvendsen.com/project/charlie-rose,New Identity for Charlie Rose by Jessica Svendsen,,,
Reachable,http://daringfireball.net/linked/2016/04/14/microsoft-justice-department,http://blogs.microsoft.com/on-the-issues/2016/04/14/keeping-secrecy-exception-not-rule-issue-consumers-businesses/#sm.0000nn2tyvzsyffkygm2g7366dqvs,Microsoft Sues U.S. Justice Department Over Secret Customer Data Searches,,,
Reachable,http://daringfireball.net/linked/2016/04/14/canadian-police-blackberry-key,https://news.vice.com/article/exclusive-canada-police-obtained-blackberrys-global-decryption-key-how,Canadian Police Have Had Access to BlackBerry’s Global Decryption Key Since 2010,,,
Reachable,http://daringfireball.net/linked/2016/04/14/motortrend-apple-car,http://www.motortrend.com/news/apple-car-exclusive/,Motor Trend Speculates on the Apple Car,,,
Reachable,http://daringfireball.net/linked/2016/04/13/73,http://www.newyorker.com/news/sporting-scene/golden-state-and-the-mathematical-magic-of-seventy-three,73,,,
Reachable,http://daringfireball.net/linked/2016/04/13/gopro-coster,http://www.cnbc.com/2016/04/13/gopro-hires-apple-designer-daniel-coster-shares-jump.html,GoPro Hires Apple Designer Daniel Coster; Shares Jump,,,
Reachable,http://daringfireball.net/linked/2016/04/13/sprint-ghetto,http://www.theverge.com/2016/4/12/11418642/sprint-calls-tmobile-ghetto-exceptionally-tasteless-ad,Sprint Calls T-Mobile ‘Ghetto’ in Ad (Now Pulled),,,
Reachable,http://daringfireball.net/linked/2016/04/12/the-talk-show-151,http://daringfireball.net/thetalkshow/2016/04/12/ep-151,The Talk Show: ‘Option P’,,,
Reachable,http://daringfireball.net/linked/2016/04/12/bez,http://www.juicybitssoftware.com/bez/,Bez 1.0,,,
